id,class_of_business_group_id,class_of_business,created_at,created_by,updated_at,updated_by,IsPL,IsGL,isBOP,is_active,row
1,8,Accountants,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,1
2,8,Actuarial Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,2
3,2,Acupressure Services,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,3
4,2,Acupuncture Services,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,4
5,5,Advertising,6/12/2018,V9.0.91,9/14/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,5
6,8,Air Conditioning Systems Installation and Repair,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,6
7,8,Answering/Paging Services,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,7
8,8,Appliance and Accessories Installation and Repair,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,8
9,8,Appliance/Electronic Stores,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,9
10,4,Application Development,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,10
11,4,Application Service Provider,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,11
12,1,Architecture,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,12
13,2,Art Therapy,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,13
14,8,Attorney,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,14
15,8,Audit Consulting,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,15
16,8,Auditing Services,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,16
17,8,Bakery,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,17
18,8,Bar/Restaurant,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,18
19,8,Barbecue Trailer Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,19
20,2,Beautician/Cosmetology Services,6/12/2018,V9.0.91,6/13/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,20
21,8,Behavioral Therapist,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,21
22,8,Bookkeeping,6/12/2018,V9.0.91,9/11/2018,V9.0.91,TRUE,FALSE,FALSE,TRUE,22
23,5,Brand Consultant,6/12/2018,V9.0.91,6/13/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,23
24,8,Breakfast Truck Operator,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,24
25,1,Building Inspection,6/12/2018,V9.0.91,,V9.0.91,TRUE,FALSE,FALSE,TRUE,25
26,8,Business Advisor ,6/12/2018,V9.0.91,9/11/2018,V9.0.91,FALSE,FALSE,FALSE,FALSE,26
