id,step_number,sort_order,question,label_name,name,field_type,field_choices,hold_status,hold_condition,is_chaining,chaining_condition,chain_question_id,created_at,created_by,updated_at,updated_by,is_verified,states_list,Comment,is_deleted_b,row
1,1,100,Do you currently have an insurance policy in effect for the coverage requested?,Insurance Policy Coverage,insurancePolicyCoverage,radio-question,"Yes
No
Prefer not to answer",None,,TRUE,Yes,4,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,1
4,2,200,Please provide the name of your insurance carrier:,Insurance Carrier,insuranceCarrier,Text,,None,,TRUE,,5,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,related to question 1 if yes.,FALSE,2
5,3,300,Do you have the retroactive date of your current Professional Liability policy?,Retroactive Date,retroactiveDate,radio-question,"Yes, I have a retroactive date
I don’t know what that is or I can’t find it.
I don’t have Professional Liability and currently carry General Liability only.",None,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,If yes they need to upload dec page.  We need upload file chaining,FALSE,3
6,4,400,Do you currently have an insurance policy in effect for the coverage requested?,Insurance Policy Coverage,insurancePolicyCoverage,radio-question,"Yes
No
Prefer not to answer",None,,TRUE,Yes,7,6/11/2018,V9.0.91,9/18/2018,V9.0.91,FALSE,,,TRUE,4
7,5,500,Please provide the name of your insurance carrier:,Insurance Carrier,insuranceCarrier,Text,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,chained from Q id 6.,FALSE,5
9,6,600,What are your business’s estimated gross sales during the next 12 months?,Estimated Sales,esitimatedSales,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,6
10,7,700,"During the next 12 months, what are the estimated gross sales you will earn from your largest
customer?",Largest Customer Estimated Sales,largestCustomerEstimatedSales,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,7
13,8,800,"For the next 12 months, what is your business’s estimated total annual revenue?",Total Annual Revenue Businesss,totalAnnualRevenueBusinesss,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,8
14,9,900,"For the next 12 months, what is your business’s estimated total annual revenue (from commissions and other sources of revenue)?",Total Annual Revenue,totalAnnualRevenue,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,9
15,10,1000,What are your business’s estimated gross sales during the next 12 months (include any government subsidies and charitable donations or contributions)?,Estimated Gross Sales,estimatedGrossSales,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,10
16,11,1100,What are your business’s estimated commissions during the next 12 months?,Estimated Commisions,estimatedCommissions,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,11
17,12,1105,"During the next 12 months, what are the estimated commissions you will earn from your largest customer?",Largest Customer Estimated Commissions,largestCustomerEstimatedCommissions,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,12
18,14,1300,"During the next 12 months, what is the estimated gross revenue you will earn from you largest project?",Largest Project Estimated Revenue,largestProjectEstimatedRevenue,input-question,,,,FALSE,,,6/11/2018,V9.0.91,9/25/2018,V9.0.91,TRUE,,,FALSE,13
19,,1400,Does your business use a written contract or statement of work?,Work,work,radio-question,"Always
Sometimes
Never",None,,FALSE,,,6/11/2018,V9.0.91,6/17/2018,V9.0.91,TRUE,,,FALSE,14
20,,1500,Does your business use a written consent form?,Written Consent Form,writtenConsentForm,radio-question,"Always
Most of the time
Sometimes
Never",None,,FALSE,,,6/11/2018,V9.0.91,6/14/2018,V9.0.91,TRUE,,,FALSE,15
21,,1600,"Do you ever work in a hospital, long term care facility or physician’s office?",Hospital/Medical Facility,hospitalMedicalFacility,radio-question,"Yes
No",None,,FALSE,,,6/11/2018,V9.0.91,9/18/2018,V9.0.91,TRUE,,,FALSE,16
